username;password;age;email
null;short;65;perfect@school.edu
ab;valid1;15;bad-email
;longpassword;86;good@mail.com
ab;valid1;65;bad-email
abc;short;;bad-email
null;;41;null
abc;longpassword;;perfect@school.edu
VeryLongUserName123;valid1;88;
abc;short;43;null
ab;short;84;
null;;78;null
ab;longpassword;13;perfect@school.edu
;short;98;null
null;null;88;good@mail.com
abc;null;20;bad-email
abc;longpassword;106;bad-email
null;valid1;113;good@mail.com
ab;null;117;bad-email
VeryLongUserName123;longpassword;53;null
null;short;67;
VeryLongUserName123;short;10;good@mail.com
ab;null;124;bad-email
abc;valid1;116;
abc;null;36;good@mail.com
ab;longpassword;65;bad-email
;longpassword;123;good@mail.com
VeryLongUserName123;valid1;60;bad-email
ab;short;27;bad-email
;longpassword;101;perfect@school.edu
abc;;95;good@mail.com
VeryLongUserName123;valid1;71;perfect@school.edu
ab;;84;bad-email
abc;valid1;122;perfect@school.edu
null;longpassword;100;good@mail.com
VeryLongUserName123;short;14;null
VeryLongUserName123;null;99;good@mail.com
ab;valid1;59;
null;short;;bad-email
null;short;85;null
abc;longpassword;;
abc;null;;bad-email
;longpassword;53;good@mail.com
null;valid1;56;perfect@school.edu
null;short;;perfect@school.edu
abc;;32;perfect@school.edu
ab;;52;perfect@school.edu
VeryLongUserName123;;;good@mail.com
null;null;22;bad-email
abc;short;42;null
abc;valid1;33;
abc;longpassword;;good@mail.com
ab;longpassword;122;null
null;short;;null
abc;longpassword;10;perfect@school.edu
abc;longpassword;85;null
VeryLongUserName123;short;49;bad-email
null;;23;bad-email
abc;short;103;good@mail.com
abc;;;null
abc;longpassword;106;perfect@school.edu
VeryLongUserName123;short;50;
;short;82;bad-email
VeryLongUserName123;longpassword;44;bad-email
null;short;88;perfect@school.edu
VeryLongUserName123;valid1;39;good@mail.com
;valid1;;null
null;short;;null
abc;null;;null
VeryLongUserName123;short;125;good@mail.com
null;short;52;good@mail.com
VeryLongUserName123;longpassword;64;bad-email
ab;short;91;perfect@school.edu
VeryLongUserName123;short;60;bad-email
ab;null;75;null
VeryLongUserName123;short;21;perfect@school.edu
null;short;30;null
VeryLongUserName123;short;56;
abc;short;94;
VeryLongUserName123;valid1;64;perfect@school.edu
null;short;21;good@mail.com
VeryLongUserName123;short;118;perfect@school.edu
null;longpassword;48;bad-email
null;null;94;bad-email
ab;short;91;bad-email
VeryLongUserName123;valid1;56;bad-email
abc;short;22;good@mail.com
ab;null;13;bad-email
null;longpassword;34;bad-email
;;50;
ab;null;;good@mail.com
abc;short;27;perfect@school.edu
abc;valid1;117;null
abc;longpassword;119;null
null;null;49;perfect@school.edu
ab;valid1;24;null
;;123;perfect@school.edu
abc;short;85;bad-email
abc;;27;null
VeryLongUserName123;null;65;null
VeryLongUserName123;short;29;bad-email
abc;valid1;64;bad-email
VeryLongUserName123;valid1;100;null
abc;valid1;68;perfect@school.edu
VeryLongUserName123;null;;perfect@school.edu
VeryLongUserName123;longpassword;;perfect@school.edu
abc;valid1;118;bad-email
abc;longpassword;119;null
;null;26;null
VeryLongUserName123;longpassword;;bad-email
VeryLongUserName123;valid1;121;perfect@school.edu
null;valid1;80;bad-email
abc;short;78;bad-email
null;null;111;bad-email
VeryLongUserName123;;10;bad-email
abc;null;56;
VeryLongUserName123;longpassword;103;bad-email
null;short;14;good@mail.com
null;short;113;
ab;null;;null
abc;short;59;bad-email
VeryLongUserName123;valid1;11;bad-email
ab;valid1;119;bad-email
abc;null;47;null
null;valid1;68;
VeryLongUserName123;null;53;bad-email
VeryLongUserName123;valid1;33;good@mail.com
abc;null;74;bad-email
abc;null;;good@mail.com
abc;;;bad-email
abc;longpassword;104;
ab;valid1;26;
ab;short;69;good@mail.com
VeryLongUserName123;longpassword;111;perfect@school.edu
;valid1;23;null
;longpassword;106;good@mail.com
null;short;;
;;108;good@mail.com
ab;short;16;perfect@school.edu
VeryLongUserName123;longpassword;;
abc;longpassword;122;
;null;27;
VeryLongUserName123;short;;
null;longpassword;40;bad-email
;null;26;perfect@school.edu
null;short;103;perfect@school.edu
VeryLongUserName123;longpassword;56;bad-email
VeryLongUserName123;null;117;null
VeryLongUserName123;short;26;
ab;null;99;bad-email
VeryLongUserName123;;71;bad-email
;longpassword;30;null
abc;null;120;perfect@school.edu
ab;null;76;good@mail.com
VeryLongUserName123;short;111;null
null;valid1;110;perfect@school.edu
ab;;108;good@mail.com
ab;null;61;null
VeryLongUserName123;longpassword;101;null
abc;valid1;78;perfect@school.edu
abc;short;69;bad-email
abc;;48;bad-email
abc;null;31;null
null;valid1;112;bad-email
null;longpassword;24;good@mail.com
null;;118;null
VeryLongUserName123;null;;bad-email
null;longpassword;16;perfect@school.edu
ab;;;null
abc;null;44;good@mail.com
VeryLongUserName123;valid1;63;perfect@school.edu
VeryLongUserName123;valid1;109;good@mail.com
VeryLongUserName123;valid1;14;good@mail.com
ab;longpassword;111;perfect@school.edu
VeryLongUserName123;valid1;43;bad-email
ab;short;;perfect@school.edu
abc;longpassword;45;
ab;longpassword;52;null
ab;short;125;perfect@school.edu
VeryLongUserName123;null;80;good@mail.com
ab;valid1;87;perfect@school.edu
ab;null;14;bad-email
abc;null;74;bad-email
null;null;20;null
;null;43;null
abc;null;23;bad-email
ab;short;115;null
;longpassword;125;good@mail.com
null;;34;bad-email
null;;61;
ab;longpassword;95;good@mail.com
VeryLongUserName123;null;53;bad-email
;null;100;perfect@school.edu
null;null;60;good@mail.com
null;longpassword;33;perfect@school.edu
ab;short;124;good@mail.com
null;short;31;perfect@school.edu
;;96;null
null;short;85;bad-email
VeryLongUserName123;valid1;73;good@mail.com
abc;valid1;13;
null;short;47;null
abc;short;43;good@mail.com
ab;valid1;51;null
ab;valid1;19;null
VeryLongUserName123;longpassword;114;good@mail.com
ab;short;41;bad-email
VeryLongUserName123;longpassword;49;perfect@school.edu
null;null;60;perfect@school.edu
abc;valid1;66;good@mail.com
VeryLongUserName123;valid1;108;good@mail.com
;valid1;20;perfect@school.edu
;null;111;perfect@school.edu
VeryLongUserName123;short;44;perfect@school.edu
null;short;19;good@mail.com
ab;valid1;100;perfect@school.edu
abc;valid1;90;bad-email
;short;115;good@mail.com
null;null;13;null
ab;short;16;bad-email
VeryLongUserName123;;49;good@mail.com
ab;null;98;bad-email
VeryLongUserName123;short;112;null
abc;null;93;
abc;short;56;null
abc;short;84;good@mail.com
VeryLongUserName123;null;105;good@mail.com
null;short;123;perfect@school.edu
ab;valid1;75;null
abc;longpassword;64;bad-email
null;longpassword;106;bad-email
ab;null;56;perfect@school.edu
null;null;106;good@mail.com
abc;null;21;good@mail.com
abc;short;25;perfect@school.edu
VeryLongUserName123;valid1;65;null
VeryLongUserName123;;62;bad-email
;null;63;
;;52;bad-email
;;97;perfect@school.edu
VeryLongUserName123;null;116;good@mail.com
ab;valid1;112;good@mail.com
null;valid1;62;bad-email
VeryLongUserName123;null;78;null
abc;null;48;perfect@school.edu
;valid1;29;perfect@school.edu
null;longpassword;93;null
;longpassword;20;null
null;valid1;39;perfect@school.edu
null;valid1;91;bad-email
null;null;11;bad-email
VeryLongUserName123;short;71;perfect@school.edu
ab;valid1;36;
ab;longpassword;16;perfect@school.edu
null;longpassword;97;bad-email
null;valid1;44;bad-email
VeryLongUserName123;null;33;good@mail.com
VeryLongUserName123;;103;bad-email
VeryLongUserName123;null;36;bad-email
ab;longpassword;;good@mail.com
null;valid1;98;null
abc;short;105;null
abc;null;39;perfect@school.edu
ab;longpassword;118;bad-email
ab;longpassword;15;good@mail.com
abc;null;61;perfect@school.edu
null;null;82;null
VeryLongUserName123;valid1;117;bad-email
;;35;good@mail.com
null;null;89;perfect@school.edu
ab;null;44;null
abc;null;124;null
null;valid1;82;
;longpassword;11;good@mail.com
null;longpassword;27;null
VeryLongUserName123;longpassword;;
ab;null;73;null
null;short;107;bad-email
null;longpassword;39;null
VeryLongUserName123;short;100;good@mail.com
ab;;21;null
null;;30;null
;longpassword;12;bad-email
VeryLongUserName123;null;108;good@mail.com
ab;longpassword;12;bad-email
ab;longpassword;62;perfect@school.edu
null;null;35;good@mail.com
ab;valid1;27;bad-email
ab;null;45;null
abc;null;22;null
abc;;;good@mail.com
abc;null;29;null
;null;92;bad-email
ab;short;36;bad-email
abc;valid1;;null
null;;;null
ab;;28;bad-email
VeryLongUserName123;null;79;bad-email
null;valid1;24;null
abc;longpassword;57;bad-email
abc;longpassword;80;good@mail.com
abc;short;103;bad-email
VeryLongUserName123;valid1;26;null
VeryLongUserName123;short;71;perfect@school.edu
;valid1;84;good@mail.com
;valid1;23;bad-email
ab;valid1;48;perfect@school.edu
VeryLongUserName123;null;59;bad-email
VeryLongUserName123;short;50;
ab;;38;perfect@school.edu
ab;valid1;57;null
;short;118;perfect@school.edu
null;short;75;
abc;null;97;null
ab;;27;perfect@school.edu
abc;valid1;25;bad-email
ab;null;19;
null;longpassword;83;null
ab;short;68;good@mail.com
null;null;82;
abc;valid1;84;bad-email
null;short;116;
VeryLongUserName123;short;;good@mail.com
VeryLongUserName123;valid1;33;perfect@school.edu
ab;null;95;good@mail.com
abc;;69;bad-email
VeryLongUserName123;null;;good@mail.com
ab;short;76;bad-email
abc;short;;good@mail.com
abc;short;73;good@mail.com
ab;valid1;95;perfect@school.edu
;valid1;90;perfect@school.edu
abc;longpassword;42;perfect@school.edu
VeryLongUserName123;longpassword;53;null
VeryLongUserName123;valid1;79;null
null;;45;perfect@school.edu
;;91;bad-email
null;short;123;bad-email
null;short;59;perfect@school.edu
VeryLongUserName123;null;31;bad-email
ab;short;77;null
VeryLongUserName123;short;;perfect@school.edu
ab;;;bad-email
null;short;18;good@mail.com
abc;null;17;bad-email
abc;short;10;good@mail.com
VeryLongUserName123;longpassword;47;null
abc;longpassword;36;good@mail.com
VeryLongUserName123;short;77;null
abc;null;67;
;short;12;bad-email
ab;null;27;null
null;null;;
abc;null;125;perfect@school.edu
ab;valid1;85;bad-email
VeryLongUserName123;short;45;perfect@school.edu
;null;51;perfect@school.edu
VeryLongUserName123;null;94;good@mail.com
abc;valid1;45;
abc;valid1;44;perfect@school.edu
abc;longpassword;53;perfect@school.edu
ab;null;19;bad-email
VeryLongUserName123;longpassword;85;bad-email
;valid1;37;bad-email
abc;null;25;perfect@school.edu
VeryLongUserName123;longpassword;61;null
null;short;57;null
abc;short;64;good@mail.com
abc;longpassword;76;
null;longpassword;52;perfect@school.edu
ab;short;;good@mail.com
ab;valid1;86;perfect@school.edu
abc;null;56;
ab;null;32;null
abc;longpassword;118;perfect@school.edu
abc;longpassword;22;null
abc;valid1;110;bad-email
ab;valid1;123;good@mail.com
abc;null;93;null
VeryLongUserName123;null;48;perfect@school.edu
null;null;80;bad-email
;;46;good@mail.com
abc;short;97;good@mail.com
ab;longpassword;59;perfect@school.edu
abc;longpassword;;perfect@school.edu
null;;92;bad-email
null;valid1;;null
;valid1;107;null
VeryLongUserName123;;34;good@mail.com
;short;110;perfect@school.edu
VeryLongUserName123;longpassword;108;bad-email
null;;10;bad-email
null;null;98;null
;longpassword;73;bad-email
abc;longpassword;75;bad-email
VeryLongUserName123;null;70;null
VeryLongUserName123;valid1;118;null
VeryLongUserName123;longpassword;54;perfect@school.edu
VeryLongUserName123;short;37;
null;null;45;null
VeryLongUserName123;null;67;bad-email
ab;short;103;bad-email
ab;longpassword;48;good@mail.com
VeryLongUserName123;short;123;bad-email
abc;longpassword;77;bad-email
abc;null;13;perfect@school.edu
VeryLongUserName123;null;111;perfect@school.edu
ab;null;;bad-email
null;longpassword;11;null
null;longpassword;109;null
ab;short;23;bad-email
ab;longpassword;38;good@mail.com
null;longpassword;104;good@mail.com
null;valid1;50;perfect@school.edu
VeryLongUserName123;valid1;93;bad-email
null;;93;null
abc;longpassword;123;bad-email
null;valid1;110;null
null;;120;null
VeryLongUserName123;short;106;perfect@school.edu
;;80;good@mail.com
null;valid1;111;good@mail.com
ab;;70;bad-email
null;longpassword;29;good@mail.com
abc;valid1;;bad-email
VeryLongUserName123;null;113;perfect@school.edu
null;valid1;57;null
VeryLongUserName123;null;;bad-email
abc;longpassword;107;good@mail.com
ab;null;52;good@mail.com
ab;longpassword;;
VeryLongUserName123;valid1;21;bad-email
;longpassword;86;good@mail.com
null;short;92;bad-email
VeryLongUserName123;longpassword;72;good@mail.com
null;longpassword;108;good@mail.com
null;longpassword;90;good@mail.com
abc;valid1;103;null
VeryLongUserName123;valid1;56;null
null;valid1;92;null
VeryLongUserName123;valid1;45;null
VeryLongUserName123;;81;null
abc;;77;good@mail.com
abc;null;26;bad-email
abc;longpassword;64;perfect@school.edu
VeryLongUserName123;valid1;78;good@mail.com
;short;52;null
abc;longpassword;51;bad-email
null;short;59;null
ab;;;perfect@school.edu
ab;short;62;bad-email
ab;longpassword;73;good@mail.com
ab;;117;perfect@school.edu
ab;short;90;null
null;valid1;47;bad-email
null;longpassword;110;null
null;;120;bad-email
abc;short;74;good@mail.com
;short;42;perfect@school.edu
;short;92;perfect@school.edu
abc;valid1;103;
ab;longpassword;77;perfect@school.edu
ab;valid1;;bad-email
null;short;18;good@mail.com
;null;28;null
ab;null;101;perfect@school.edu
ab;longpassword;93;perfect@school.edu
ab;longpassword;40;null
ab;null;67;
null;null;65;null
VeryLongUserName123;valid1;39;perfect@school.edu
;valid1;120;perfect@school.edu
;valid1;75;good@mail.com
;valid1;88;null
VeryLongUserName123;null;81;good@mail.com
null;short;23;null
ab;short;37;null
;short;56;
abc;valid1;91;null
null;null;20;perfect@school.edu
VeryLongUserName123;valid1;;good@mail.com
ab;null;;bad-email
abc;longpassword;108;perfect@school.edu
abc;valid1;;good@mail.com
VeryLongUserName123;longpassword;63;bad-email
VeryLongUserName123;longpassword;120;
abc;short;123;bad-email
abc;valid1;27;null
ab;longpassword;10;null
;short;38;perfect@school.edu
null;longpassword;20;good@mail.com
VeryLongUserName123;longpassword;87;null
ab;short;108;bad-email
VeryLongUserName123;valid1;123;perfect@school.edu
abc;valid1;27;null
ab;longpassword;17;good@mail.com
abc;null;83;null
abc;longpassword;64;good@mail.com
VeryLongUserName123;null;11;null
ab;null;68;null
ab;longpassword;105;bad-email
abc;longpassword;11;good@mail.com
;short;41;null
null;null;45;bad-email
ab;longpassword;96;good@mail.com
ab;short;100;perfect@school.edu
null;valid1;92;null
ab;longpassword;;perfect@school.edu
VeryLongUserName123;longpassword;;bad-email
abc;;28;perfect@school.edu
ab;null;110;bad-email
VeryLongUserName123;short;;null
VeryLongUserName123;short;16;null
abc;null;35;good@mail.com
ab;short;74;bad-email
ab;short;99;perfect@school.edu
;;76;null
VeryLongUserName123;longpassword;119;
abc;null;79;good@mail.com
VeryLongUserName123;longpassword;11;perfect@school.edu
abc;null;105;perfect@school.edu
abc;short;;good@mail.com
ab;valid1;18;good@mail.com
ab;;34;bad-email
ab;short;73;bad-email
abc;longpassword;104;
ab;valid1;90;good@mail.com
VeryLongUserName123;longpassword;67;null
abc;longpassword;;good@mail.com
;short;99;good@mail.com
ab;longpassword;82;null
abc;short;45;
VeryLongUserName123;longpassword;110;good@mail.com
ab;short;105;perfect@school.edu
;short;107;good@mail.com
VeryLongUserName123;longpassword;38;good@mail.com
VeryLongUserName123;null;48;good@mail.com
null;null;39;perfect@school.edu
abc;short;;bad-email
VeryLongUserName123;valid1;18;perfect@school.edu
ab;short;102;good@mail.com
null;short;115;good@mail.com
abc;null;36;perfect@school.edu
ab;null;30;perfect@school.edu
abc;longpassword;;good@mail.com
ab;null;68;bad-email
abc;short;33;good@mail.com
VeryLongUserName123;valid1;;null
;;77;null
abc;null;96;good@mail.com
null;null;62;good@mail.com
VeryLongUserName123;longpassword;16;perfect@school.edu
;longpassword;123;null
null;short;123;null
null;short;92;null
VeryLongUserName123;longpassword;41;null
ab;longpassword;75;perfect@school.edu
;longpassword;38;null
ab;short;34;bad-email
;short;;perfect@school.edu
null;valid1;50;perfect@school.edu
VeryLongUserName123;longpassword;67;bad-email
VeryLongUserName123;;53;perfect@school.edu
ab;valid1;118;null
ab;null;43;bad-email
VeryLongUserName123;;74;bad-email
ab;longpassword;116;null
VeryLongUserName123;short;93;perfect@school.edu
VeryLongUserName123;short;67;good@mail.com
VeryLongUserName123;null;44;null
;longpassword;29;perfect@school.edu
null;short;93;
abc;short;44;good@mail.com
null;;31;
;null;57;null
abc;null;116;null
abc;valid1;29;bad-email
null;;113;good@mail.com
abc;null;60;null
abc;longpassword;13;good@mail.com
ab;null;29;good@mail.com
ab;;33;bad-email
ab;longpassword;66;bad-email
null;longpassword;;good@mail.com
abc;;;perfect@school.edu
abc;;;perfect@school.edu
null;null;114;good@mail.com
null;;71;good@mail.com
ab;longpassword;23;
null;longpassword;37;perfect@school.edu
VeryLongUserName123;longpassword;23;good@mail.com
ab;short;43;
VeryLongUserName123;longpassword;93;perfect@school.edu
VeryLongUserName123;;17;perfect@school.edu
abc;null;33;perfect@school.edu
ab;;61;bad-email
abc;longpassword;25;bad-email
ab;valid1;96;null
VeryLongUserName123;longpassword;125;perfect@school.edu
null;null;48;perfect@school.edu
VeryLongUserName123;short;36;null
VeryLongUserName123;valid1;37;perfect@school.edu
;short;21;perfect@school.edu
VeryLongUserName123;valid1;21;null
abc;longpassword;90;null
ab;short;98;
null;short;69;good@mail.com
VeryLongUserName123;null;79;good@mail.com
VeryLongUserName123;short;120;null
abc;;;bad-email
ab;;;null
ab;;88;good@mail.com
null;null;80;good@mail.com
abc;short;;perfect@school.edu
abc;null;61;perfect@school.edu
abc;null;32;good@mail.com
abc;;59;good@mail.com
abc;short;125;
abc;valid1;124;good@mail.com
;null;35;perfect@school.edu
;short;33;null
;longpassword;45;good@mail.com
ab;short;44;
ab;short;95;null
ab;short;125;null
abc;short;36;perfect@school.edu
null;short;105;null
VeryLongUserName123;valid1;102;bad-email
null;valid1;27;null
abc;longpassword;76;null
VeryLongUserName123;longpassword;108;bad-email
VeryLongUserName123;short;46;perfect@school.edu
VeryLongUserName123;null;114;good@mail.com
;valid1;59;bad-email
;short;81;bad-email
null;longpassword;42;bad-email
ab;longpassword;;null
null;;49;null
VeryLongUserName123;valid1;90;perfect@school.edu
ab;longpassword;11;good@mail.com
ab;short;91;good@mail.com
VeryLongUserName123;valid1;117;null
null;null;75;bad-email
ab;;37;good@mail.com
abc;null;125;null
null;longpassword;70;bad-email
abc;;31;null
null;valid1;43;bad-email
VeryLongUserName123;valid1;102;bad-email
;longpassword;60;good@mail.com
ab;valid1;83;bad-email
abc;short;32;perfect@school.edu
null;valid1;90;good@mail.com
ab;valid1;114;perfect@school.edu
ab;longpassword;10;good@mail.com
abc;;;bad-email
;valid1;107;bad-email
VeryLongUserName123;longpassword;92;null
abc;valid1;89;bad-email
;longpassword;11;perfect@school.edu
